in s,C4 in V
3.5860000E-05,-3.36133E-05
3.6043200E-05,-5.80273E-05
3.6226400E-05,-9.70898E-05
3.6409600E-05,-4.82617E-05
3.6592800E-05,-7.75586E-05
3.6776000E-05,-4.82617E-05
3.6959200E-05,-9.70898E-05
3.7142400E-05,-7.26758E-05
3.7325600E-05,-7.26758E-05
3.7508800E-05,-8.24414E-05
3.7692000E-05,-6.77930E-05
3.7875200E-05,-3.36133E-05
3.8058400E-05,-1.11738E-04
3.8241600E-05,-8.24414E-05
3.8424800E-05,-4.33789E-05
3.8608000E-05,-6.29102E-05
3.8791200E-05,-6.29102E-05
3.8974400E-05,-6.77930E-05
3.9157600E-05,-6.77930E-05
3.9340800E-05,-5.31445E-05
3.9524000E-05,-8.24414E-05
3.9707200E-05,-4.33789E-05
3.9890400E-05,-6.29102E-05
4.0073600E-05,9.47832E-04
4.0256800E-05,9.28301E-04
4.0440000E-05,9.42949E-04
4.0623200E-05,9.18535E-04
4.0806400E-05,9.33184E-04
4.0989600E-05,9.28301E-04
4.1172800E-05,9.38066E-04
4.1356000E-05,9.28301E-04
4.1539200E-05,9.28301E-04
4.1722400E-05,9.33184E-04
4.1905600E-05,9.67363E-04
4.2088800E-05,9.28301E-04
4.2272000E-05,9.82012E-04
4.2455200E-05,9.62480E-04
4.2638400E-05,9.38066E-04
4.2821600E-05,9.57598E-04
4.3004800E-05,9.42949E-04
4.3188000E-05,9.23418E-04
4.3371200E-05,9.57598E-04
4.3554400E-05,9.28301E-04
4.3737600E-05,9.47832E-04
4.3920800E-05,9.47832E-04
4.4104000E-05,9.47832E-04
4.4287200E-05,9.52715E-04
4.4470400E-05,9.33184E-04
4.4653600E-05,9.18535E-04
4.4836800E-05,9.57598E-04
4.5020000E-05,9.42949E-04
4.5203200E-05,9.42949E-04
4.5386400E-05,9.23418E-04
4.5569600E-05,9.42949E-04
4.5752800E-05,9.13652E-04
4.5936000E-05,9.18535E-04
4.6119200E-05,9.33184E-04
4.6302400E-05,9.42949E-04
4.6485600E-05,8.99004E-04
4.6668800E-05,9.67363E-04
4.6852000E-05,9.13652E-04
4.7035200E-05,-3.36133E-05
4.7218400E-05,-5.80273E-05
4.7401600E-05,-3.84961E-05
4.7584800E-05,-5.31445E-05
4.7768000E-05,-4.82617E-05
4.7951200E-05,-6.29102E-05
4.8134400E-05,-4.82617E-05
4.8317600E-05,-5.80273E-05
4.8500800E-05,-6.77930E-05
4.8684000E-05,-3.36133E-05
4.8867200E-05,-3.84961E-05
4.9050400E-05,-7.75586E-05
4.9233600E-05,-1.40820E-05
4.9416800E-05,-2.38477E-05
4.9600000E-05,-4.82617E-05
4.9783200E-05,-9.70898E-05
4.9966400E-05,-4.82617E-05
5.0149600E-05,-6.29102E-05
5.0332800E-05,-5.31445E-05
5.0516000E-05,-6.29102E-05
5.0699200E-05,-4.82617E-05
5.0882400E-05,-7.75586E-05
5.1065600E-05,-4.82617E-05
5.1248800E-05,-4.82617E-05
5.1432000E-05,-4.82617E-05
5.1615200E-05,-3.84961E-05
5.1798400E-05,-2.87305E-05
5.1981600E-05,-1.89648E-05
5.2164800E-05,-2.87305E-05
5.2348000E-05,-4.82617E-05
5.2531200E-05,-5.80273E-05
5.2714400E-05,-4.82617E-05
5.2897600E-05,-4.82617E-05
5.3080800E-05,-4.33789E-05
5.3264000E-05,-1.89648E-05
5.3447200E-05,-6.77930E-05
5.3630400E-05,-4.33789E-05
5.3813600E-05,-5.80273E-05
5.3996800E-05,-2.38477E-05
5.4180000E-05,-6.77930E-05
5.4363200E-05,-6.29102E-05
5.4546400E-05,-5.31445E-05
5.4729600E-05,-7.26758E-05
5.4912800E-05,-9.22070E-05
5.5096000E-05,-6.77930E-05
5.5279200E-05,-4.33789E-05
5.5462400E-05,-3.36133E-05
5.5645600E-05,-6.77930E-05
5.5828800E-05,-5.31445E-05
5.6012000E-05,-7.75586E-05
5.6195200E-05,-7.75586E-05
5.6378400E-05,-8.24414E-05
5.6561600E-05,-7.75586E-05
5.6744800E-05,-4.82617E-05
5.6928000E-05,-5.31445E-05
5.7111200E-05,-3.84961E-05
5.7294400E-05,-4.82617E-05
5.7477600E-05,-6.29102E-05
5.7660800E-05,-7.75586E-05
5.7844000E-05,-7.75586E-05
5.8027200E-05,-9.22070E-05
5.8210400E-05,-9.22070E-05
5.8393600E-05,-3.36133E-05
5.8576800E-05,-1.06855E-04
5.8760000E-05,-6.29102E-05
5.8943200E-05,-6.77930E-05
5.9126400E-05,-1.01973E-04
5.9309600E-05,-8.24414E-05
5.9492800E-05,-1.11738E-04
5.9676000E-05,-8.24414E-05
5.9859200E-05,-5.31445E-05
6.0042400E-05,8.79473E-04
6.0225600E-05,9.08770E-04
6.0408800E-05,8.89238E-04
6.0592000E-05,9.18535E-04
