in s,C4 in V
3.2580800E-05,-6.95312E-06
3.2764000E-05,7.11719E-05
3.2947200E-05,3.21094E-05
3.3130400E-05,3.21094E-05
3.3313600E-05,3.21094E-05
3.3496800E-05,9.07031E-05
3.3680000E-05,7.11719E-05
3.3863200E-05,7.11719E-05
3.4046400E-05,7.11719E-05
3.4229600E-05,9.07031E-05
3.4412800E-05,5.16406E-05
3.4596000E-05,-6.95312E-06
3.4779200E-05,5.16406E-05
3.4962400E-05,3.21094E-05
3.5145600E-05,1.25781E-05
3.5328800E-05,1.29766E-04
3.5512000E-05,5.16406E-05
3.5695200E-05,3.21094E-05
3.5878400E-05,3.21094E-05
3.6061600E-05,1.25781E-05
3.6244800E-05,5.16406E-05
3.6428000E-05,5.16406E-05
3.6611200E-05,-6.95312E-06
3.6794400E-05,1.25781E-05
3.6977600E-05,1.25781E-05
3.7160800E-05,7.11719E-05
3.7344000E-05,1.25781E-05
3.7527200E-05,7.11719E-05
3.7710400E-05,-2.64844E-05
3.7893600E-05,5.16406E-05
3.8076800E-05,-6.95312E-06
3.8260000E-05,7.11719E-05
3.8443200E-05,5.16406E-05
3.8626400E-05,-2.64844E-05
3.8809600E-05,-2.64844E-05
3.8992800E-05,1.25781E-05
3.9176000E-05,-2.64844E-05
3.9359200E-05,5.16406E-05
3.9542400E-05,1.25781E-05
3.9725600E-05,1.25781E-05
3.9908800E-05,1.25781E-05
4.0092000E-05,9.85633E-03
4.0275200E-05,9.79773E-03
4.0458400E-05,9.89539E-03
4.0641600E-05,9.87586E-03
4.0824800E-05,9.93445E-03
4.1008000E-05,9.89539E-03
4.1191200E-05,9.91492E-03
4.1374400E-05,9.85633E-03
4.1557600E-05,9.93445E-03
4.1740800E-05,9.91492E-03
4.1924000E-05,9.93445E-03
4.2107200E-05,9.93445E-03
4.2290400E-05,9.93445E-03
4.2473600E-05,9.91492E-03
4.2656800E-05,9.91492E-03
4.2840000E-05,9.89539E-03
4.3023200E-05,9.99305E-03
4.3206400E-05,9.89539E-03
4.3389600E-05,9.93445E-03
4.3572800E-05,9.97352E-03
4.3756000E-05,9.93445E-03
4.3939200E-05,9.85633E-03
4.4122400E-05,9.95398E-03
4.4305600E-05,9.93445E-03
4.4488800E-05,9.95398E-03
4.4672000E-05,9.87586E-03
4.4855200E-05,9.97352E-03
4.5038400E-05,9.91492E-03
4.5221600E-05,9.93445E-03
4.5404800E-05,9.87586E-03
4.5588000E-05,9.93445E-03
4.5771200E-05,9.89539E-03
4.5954400E-05,9.93445E-03
4.6137600E-05,9.89539E-03
4.6320800E-05,9.99305E-03
4.6504000E-05,9.93445E-03
4.6687200E-05,9.97352E-03
4.6870400E-05,9.89539E-03
4.7053600E-05,1.10234E-04
4.7236800E-05,7.11719E-05
4.7420000E-05,7.11719E-05
4.7603200E-05,7.11719E-05
4.7786400E-05,1.25781E-05
4.7969600E-05,7.11719E-05
4.8152800E-05,5.16406E-05
4.8336000E-05,-6.55469E-05
4.8519200E-05,9.07031E-05
4.8702400E-05,5.16406E-05
4.8885600E-05,5.16406E-05
4.9068800E-05,1.25781E-05
4.9252000E-05,3.21094E-05
4.9435200E-05,5.16406E-05
4.9618400E-05,5.16406E-05
4.9801600E-05,1.25781E-05
4.9984800E-05,3.21094E-05
5.0168000E-05,1.25781E-05
5.0351200E-05,-6.95312E-06
5.0534400E-05,5.16406E-05
5.0717600E-05,-6.95312E-06
5.0900800E-05,3.21094E-05
5.1084000E-05,5.16406E-05
5.1267200E-05,-4.60156E-05
5.1450400E-05,3.21094E-05
5.1633600E-05,1.25781E-05
5.1816800E-05,1.25781E-05
5.2000000E-05,1.25781E-05
5.2183200E-05,3.21094E-05
5.2366400E-05,-2.64844E-05
5.2549600E-05,1.10234E-04
5.2732800E-05,1.25781E-05
5.2916000E-05,3.21094E-05
5.3099200E-05,-4.60156E-05
5.3282400E-05,7.11719E-05
5.3465600E-05,1.25781E-05
5.3648800E-05,3.21094E-05
5.3832000E-05,1.25781E-05
5.4015200E-05,5.16406E-05
5.4198400E-05,-6.55469E-05
5.4381600E-05,-6.95312E-06
5.4564800E-05,3.21094E-05
5.4748000E-05,3.21094E-05
5.4931200E-05,-6.95312E-06
5.5114400E-05,-6.95312E-06
5.5297600E-05,3.21094E-05
5.5480800E-05,-2.64844E-05
5.5664000E-05,1.25781E-05
5.5847200E-05,1.25781E-05
5.6030400E-05,-2.64844E-05
5.6213600E-05,-2.64844E-05
5.6396800E-05,1.25781E-05
5.6580000E-05,7.11719E-05
5.6763200E-05,-4.60156E-05
5.6946400E-05,1.25781E-05
5.7129600E-05,1.25781E-05
5.7312800E-05,-6.95312E-06
5.7496000E-05,5.16406E-05
5.7679200E-05,5.16406E-05
5.7862400E-05,-6.95312E-06
5.8045600E-05,-4.60156E-05
5.8228800E-05,-6.95312E-06
5.8412000E-05,5.16406E-05
5.8595200E-05,-2.64844E-05
5.8778400E-05,7.11719E-05
5.8961600E-05,-4.60156E-05
5.9144800E-05,1.25781E-05
5.9328000E-05,3.21094E-05
5.9511200E-05,3.21094E-05
5.9694400E-05,-1.04609E-04
5.9877600E-05,3.21094E-05
6.0060800E-05,9.79773E-03
6.0244000E-05,9.85633E-03
6.0427200E-05,9.85633E-03
6.0610400E-05,9.91492E-03
6.0793600E-05,9.89539E-03
6.0976800E-05,9.81727E-03
6.1160000E-05,9.95398E-03
6.1343200E-05,1.00126E-02
6.1526400E-05,9.83680E-03
6.1709600E-05,9.95398E-03
6.1892800E-05,9.93445E-03
6.2076000E-05,9.99305E-03
6.2259200E-05,9.87586E-03
6.2442400E-05,9.89539E-03
6.2625600E-05,9.89539E-03
6.2808800E-05,9.95398E-03
6.2992000E-05,9.95398E-03
6.3175200E-05,9.93445E-03
6.3358400E-05,9.91492E-03
6.3541600E-05,1.00126E-02
6.3724800E-05,9.97352E-03
6.3908000E-05,9.99305E-03
6.4091200E-05,9.99305E-03
6.4274400E-05,1.00126E-02
6.4457600E-05,9.91492E-03
6.4640800E-05,9.91492E-03
6.4824000E-05,9.93445E-03
6.5007200E-05,9.99305E-03
6.5190400E-05,9.95398E-03
6.5373600E-05,9.97352E-03
6.5556800E-05,1.00126E-02
6.5740000E-05,1.00126E-02
6.5923200E-05,9.95398E-03
6.6106400E-05,1.00126E-02
6.6289600E-05,9.95398E-03
6.6472800E-05,1.00126E-02
6.6656000E-05,9.99305E-03
6.6839200E-05,9.95398E-03
6.7022400E-05,2.07891E-04
6.7205600E-05,1.29766E-04
6.7388800E-05,9.07031E-05
6.7572000E-05,1.68828E-04
6.7755200E-05,1.68828E-04
6.7938400E-05,1.29766E-04
6.8121600E-05,1.10234E-04
6.8304800E-05,1.29766E-04
6.8488000E-05,9.07031E-05
6.8671200E-05,1.29766E-04
6.8854400E-05,-2.64844E-05
6.9037600E-05,1.29766E-04
6.9220800E-05,9.07031E-05
6.9404000E-05,9.07031E-05
6.9587200E-05,1.25781E-05
6.9770400E-05,5.16406E-05
6.9953600E-05,3.21094E-05
7.0136800E-05,7.11719E-05
7.0320000E-05,1.25781E-05
7.0503200E-05,9.07031E-05
7.0686400E-05,7.11719E-05
7.0869600E-05,1.25781E-05
7.1052800E-05,-2.64844E-05
7.1236000E-05,1.10234E-04
7.1419200E-05,9.07031E-05
7.1602400E-05,9.07031E-05
7.1785600E-05,-6.95312E-06
7.1968800E-05,5.16406E-05
7.2152000E-05,3.21094E-05
7.2335200E-05,7.11719E-05
7.2518400E-05,3.21094E-05
7.2701600E-05,-6.95312E-06
7.2884800E-05,5.16406E-05
7.3068000E-05,5.16406E-05
7.3251200E-05,3.21094E-05
7.3434400E-05,1.10234E-04
7.3617600E-05,3.21094E-05
7.3800800E-05,1.25781E-05
7.3984000E-05,5.16406E-05
7.4167200E-05,9.07031E-05
7.4350400E-05,3.21094E-05
7.4533600E-05,5.16406E-05
7.4716800E-05,5.16406E-05
7.4900000E-05,7.11719E-05
7.5083200E-05,1.25781E-05
7.5266400E-05,5.16406E-05
7.5449600E-05,1.25781E-05
7.5632800E-05,7.11719E-05
7.5816000E-05,5.16406E-05
7.5999200E-05,5.16406E-05
7.6182400E-05,1.25781E-05
7.6365600E-05,-2.64844E-05
7.6548800E-05,-2.64844E-05
7.6732000E-05,5.16406E-05
7.6915200E-05,3.21094E-05
7.7098400E-05,7.11719E-05
7.7281600E-05,1.25781E-05
7.7464800E-05,5.16406E-05
7.7648000E-05,-2.64844E-05
7.7831200E-05,-6.95312E-06
