in s,M2 in V
-2.097588E-01,-1.5793457E+00
-2.097492E-01,-1.5794983E+00
-2.097396E-01,-1.5794067E+00
-2.097300E-01,-1.5794373E+00
-2.097204E-01,-1.5794067E+00
-2.097108E-01,-1.5795593E+00
-2.097012E-01,-1.5794983E+00
-2.096916E-01,-1.5795593E+00
-2.096820E-01,-1.5795288E+00
-2.096724E-01,-1.5794983E+00
-2.096628E-01,-1.5796509E+00
-2.096532E-01,-1.5795898E+00
-2.096436E-01,-1.5795898E+00
-2.096340E-01,-1.5795288E+00
-2.096244E-01,-1.5796204E+00
-2.096148E-01,-1.5795593E+00
-2.096052E-01,-1.5794067E+00
-2.095956E-01,-1.5794067E+00
-2.095860E-01,-1.5794373E+00
-2.095764E-01,-1.5793762E+00
-2.095668E-01,-1.5794983E+00
-2.095572E-01,-1.5795288E+00
-2.095476E-01,-1.5795593E+00
-2.095380E-01,-1.5795288E+00
-2.095284E-01,-1.5794678E+00
-2.095188E-01,-1.5795593E+00
-2.095092E-01,-1.5794983E+00
-2.094996E-01,-1.5793762E+00
-2.094900E-01,-1.5794678E+00
-2.094804E-01,-1.5794373E+00
-2.094708E-01,-1.5796509E+00
-2.094612E-01,-1.5794983E+00
-2.094516E-01,-1.5795288E+00
-2.094420E-01,-1.5795288E+00
-2.094324E-01,-1.5795898E+00
-2.094228E-01,-1.5797119E+00
-2.094132E-01,-1.5795593E+00
-2.094036E-01,-1.5795288E+00
-2.093940E-01,-1.5795593E+00
-2.093844E-01,-1.5796814E+00
-2.093748E-01,-1.5794983E+00
-2.093652E-01,-1.5795288E+00
-2.093556E-01,-1.5794983E+00
-2.093460E-01,-1.5796814E+00
-2.093364E-01,-1.5796509E+00
-2.093268E-01,-1.5794373E+00
-2.093172E-01,-1.5794678E+00
-2.093076E-01,-1.5794067E+00
-2.092980E-01,-1.5792847E+00
-2.092884E-01,-1.5793762E+00
-2.092788E-01,-1.5794678E+00
-2.092692E-01,-1.5792847E+00
-2.092596E-01,-1.5794983E+00
-2.092500E-01,-1.5795898E+00
-2.092404E-01,-1.5795288E+00
-2.092308E-01,-1.5794983E+00
-2.092212E-01,-1.5794983E+00
-2.092116E-01,-1.5795593E+00
-2.092020E-01,-1.5795593E+00
-2.091924E-01,-1.5795593E+00
-2.091828E-01,-1.5795898E+00
-2.091732E-01,-1.5795898E+00
-2.091636E-01,-1.5796204E+00
-2.091540E-01,-1.5795593E+00
-2.091444E-01,-1.5795288E+00
-2.091348E-01,-1.5795593E+00
-2.091252E-01,-1.5794983E+00
-2.091156E-01,-1.5795593E+00
-2.091060E-01,-1.5794983E+00
-2.090964E-01,-1.5794678E+00
-2.090868E-01,-1.5795593E+00
-2.090772E-01,-1.5794983E+00
-2.090676E-01,-1.5795288E+00
-2.090580E-01,-1.5795593E+00
-2.090484E-01,-1.5796509E+00
-2.090388E-01,-1.5795288E+00
-2.090292E-01,-1.5794067E+00
-2.090196E-01,-1.5795288E+00
-2.090100E-01,-1.5796204E+00
-2.090004E-01,-1.5796204E+00
-2.089908E-01,-1.5795898E+00
